poi_id,name,name_clean,category,zone,latitude,longitude,address,source,source_url,confidence,notes,record_origin,validation_status,match_method,osm_type,osm_id,extracted_at
OSM-0729,Waruga Warmindo - Burjo,waruga warmindo - burjo,restaurant,Depok,-7.782868,110.3793796,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9217234773,2026-06-24T16:08:05.739952+00:00
OSM-0730,Ka Story,ka story,restaurant,Depok,-7.7825159,110.3793919,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9217234774,2026-06-24T16:08:05.739952+00:00
OSM-0731,Sae Chicken - Warung 543,sae chicken - warung 543,restaurant,Depok,-7.7836891,110.3792365,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9217234775,2026-06-24T16:08:05.739952+00:00
OSM-0732,Mie Aceh - Duta Serambi,mie aceh - duta serambi,restaurant,Depok,-7.7827734,110.3793417,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9217234777,2026-06-24T16:08:05.739952+00:00
OSM-0733,Sushiruma,sushiruma,restaurant,Depok,-7.7815735,110.3794209,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9217234778,2026-06-24T16:08:05.739952+00:00
OSM-0734,Mikuya,mikuya,restaurant,Depok,-7.782423,110.3793968,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9217234779,2026-06-24T16:08:05.739952+00:00
OSM-0735,Mie Ayam Kobar Jaya,mie ayam kobar jaya,restaurant,Mlati,-7.7872179,110.3709391,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Mlati",osm,osm_only,osm_only,node,9219846872,2026-06-24T16:08:05.739952+00:00
OSM-0736,Warung 27,warung 27,restaurant,Depok,-7.7766031,110.3759177,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9222486037,2026-06-24T16:08:05.739952+00:00
OSM-0737,Bubur Ayam Jakarta,bubur ayam jakarta,restaurant,Depok,-7.777929,110.3758632,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9222486039,2026-06-24T16:08:05.739952+00:00
OSM-0738,Warung Makan DPR,warung makan dpr,restaurant,Depok,-7.777716,110.3758917,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9222486041,2026-06-24T16:08:05.739952+00:00
OSM-0739,Warmindo Sumber Vitamin,warmindo sumber vitamin,restaurant,Depok,-7.776414,110.3759234,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9222486042,2026-06-24T16:08:05.739952+00:00
OSM-0740,Warmindo,warmindo,restaurant,Depok,-7.7778615,110.3757179,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9222486043,2026-06-24T16:08:05.739952+00:00
OSM-0741,Nasi Uduk Uni Al,nasi uduk uni al,restaurant,Depok,-7.7764892,110.3759239,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9222486044,2026-06-24T16:08:05.739952+00:00
OSM-0742,Warung Pak Jon,warung pak jon,restaurant,Depok,-7.777821,110.3758774,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9222486046,2026-06-24T16:08:05.739952+00:00
OSM-0743,Bubur Ayam Salbiyah,bubur ayam salbiyah,restaurant,Depok,-7.7760687,110.3778421,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9222644141,2026-06-24T16:08:05.739952+00:00
OSM-0744,Angkringan DPR,angkringan dpr,restaurant,Depok,-7.7760763,110.3780427,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9222644148,2026-06-24T16:08:05.739952+00:00
OSM-0745,Bakso dan Mie Ayam Yatmin,bakso dan mie ayam yatmin,restaurant,Depok,-7.7882117,110.3773379,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9229319595,2026-06-24T16:08:05.739952+00:00
OSM-0746,Coolhands,coolhands,cafe,Depok,-7.7885708,110.3776305,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:cafe; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9242835811,2026-06-24T16:08:05.739952+00:00
OSM-0747,Warung Makan Bu Uli,warung makan bu uli,restaurant,Depok,-7.7890903,110.3765167,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9242835812,2026-06-24T16:08:05.739952+00:00
OSM-0748,Mie Ayam Asalam,mie ayam asalam,restaurant,Depok,-7.7861972,110.3758595,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9252270615,2026-06-24T16:08:05.739952+00:00
OSM-0749,Soto Ayam,soto ayam,restaurant,Depok,-7.7863022,110.3761118,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9252270617,2026-06-24T16:08:05.739952+00:00
OSM-0750,Siomay Kotabaru,siomay kotabaru,restaurant,Depok,-7.7859728,110.3747143,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9252270618,2026-06-24T16:08:05.739952+00:00
OSM-0751,Angkringan,angkringan,restaurant,Depok,-7.7861119,110.3754528,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9252270619,2026-06-24T16:08:05.739952+00:00
OSM-0752,Warung Goyang Lidah,warung goyang lidah,restaurant,Depok,-7.7862229,110.3761391,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9270669213,2026-06-24T16:08:05.739952+00:00
OSM-0753,De Celine Restaurant & Patisserie,de celine restaurant & patisserie,restaurant,Mlati,-7.7859347,110.3718056,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Mlati",osm,osm_only,osm_only,node,9505300231,2026-06-24T16:08:05.739952+00:00
OSM-0754,Rumah Kost Putri,rumah kost putri,guest_house,Depok,-7.7738994,110.3819078,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=tourism:guest_house; flags: direct=false, food=false, demand=false, support=true; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,9622538149,2026-06-24T16:08:05.739952+00:00
OSM-0755,Dapur New Yorkarto,dapur new yorkarto,restaurant,Depok,-7.7302007,110.4533927,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false",osm,osm_only,osm_only,node,9663649829,2026-06-24T16:07:57.357772+00:00
