poi_id,name,category,zone,latitude,longitude,address,source,confidence,notes,record_origin,osm_type,osm_id,osm_primary_key,osm_primary_value,zone_matches,matched_baseline_poi_id
OSM-0630,Mie Ayam dan Bakso Remaja,restaurant,Depok,-7.7770252,110.4351639,,OpenStreetMap Overpass,medium,OSM amenity=restaurant; zone query match: Depok.,osm,node,13707366169,amenity,restaurant,Depok,
OSM-0631,Kost Dumess Exclusive,lodging,Gamping,-7.8276747,110.3465293,,OpenStreetMap Overpass,medium,OSM tourism=guest_house; zone query match: Gamping. operator=Dumess,osm,node,13742021412,tourism,guest_house,Gamping,
OSM-0632,GeBack,cafe,Depok/Mlati,-7.7796962,110.3768438,,OpenStreetMap Overpass,medium,OSM amenity=cafe; zone query match: Depok/Mlati.,osm,node,13797641008,amenity,cafe,Depok/Mlati,
OSM-0633,Warung Medan,restaurant,Depok/Mlati,-7.7649203,110.3817391,,OpenStreetMap Overpass,medium,OSM amenity=restaurant; zone query match: Depok/Mlati. cuisine=indonesian,osm,node,13797644484,amenity,restaurant,Depok/Mlati,
OSM-0634,Indomaret Selokan Mataram Baru,minimarket,Depok/Mlati,-7.761318,110.3725322,,OpenStreetMap Overpass,medium,OSM shop=supermarket; zone query match: Depok/Mlati.,osm,node,13797646621,shop,supermarket,Depok/Mlati,
OSM-0635,Sender Coffe,cafe,Depok/Mlati,-7.7656621,110.3787078,"Jalan Kaliurang, Sleman",OpenStreetMap Overpass,medium,OSM amenity=cafe; zone query match: Depok/Mlati. cuisine=coffee_shop; opening_hours=24/7,osm,node,13797646707,amenity,cafe,Depok/Mlati,
OSM-0636,TETRA Coffe & Eatery,cafe,Depok/Mlati,-7.7803164,110.3779374,,OpenStreetMap Overpass,medium,OSM amenity=cafe; zone query match: Depok/Mlati.,osm,node,13797647616,amenity,cafe,Depok/Mlati,
OSM-0637,Kost Putri Griya Khoirunnisa,lodging,Depok/Mlati,-7.7616166,110.3755767,"Pogung Baru Blok A3, 21, Sleman",OpenStreetMap Overpass,medium,OSM tourism=hostel; zone query match: Depok/Mlati. operator=Aurellia Hadistyn,osm,node,13797654474,tourism,hostel,Depok/Mlati,
OSM-0638,Ikan Asap Pakbe,restaurant,Depok/Mlati,-7.7617057,110.3703423,Sleman,OpenStreetMap Overpass,medium,OSM amenity=restaurant; zone query match: Depok/Mlati. cuisine=regional;indonesian; opening_hours=24/7,osm,node,13797657004,amenity,restaurant,Depok/Mlati,
OSM-0639,Tobeko,minimarket,Depok/Mlati,-7.7657299,110.3789181,"Jalan Kaliurang, 2, Sleman",OpenStreetMap Overpass,medium,OSM shop=supermarket; zone query match: Depok/Mlati. opening_hours=24/7,osm,node,13797658600,shop,supermarket,Depok/Mlati,
OSM-0640,Balairung UGM,university,Depok/Mlati,-7.7676724,110.3785729,,OpenStreetMap Overpass,medium,OSM amenity=university; zone query match: Depok/Mlati. operator=Kristoforus Karol,osm,node,13800363193,amenity,university,Depok/Mlati,
OSM-0641,GEDUNG KLMB,college,Depok/Mlati,-7.7666138,110.3779181,,OpenStreetMap Overpass,medium,OSM amenity=college; zone query match: Depok/Mlati. operator=FAYO,osm,node,13800384385,amenity,college,Depok/Mlati,
OSM-0642,Papiti Jogja,restaurant,Depok,-7.7496806,110.438432,,OpenStreetMap Overpass,medium,OSM amenity=restaurant; zone query match: Depok.,osm,node,13800394611,amenity,restaurant,Depok,
OSM-0643,Gedung B,college,Depok/Mlati,-7.7666476,110.3774574,,OpenStreetMap Overpass,medium,OSM amenity=college; zone query match: Depok/Mlati. operator=Fayo,osm,node,13800398874,amenity,college,Depok/Mlati,
OSM-0644,Hotel Tentrem,lodging,Depok/Mlati,-7.7738045,110.3686016,,OpenStreetMap Overpass,medium,OSM tourism=hotel; zone query match: Depok/Mlati.,osm,node,13800404270,tourism,hotel,Depok/Mlati,
OSM-0645,rumah simbah,lodging,Gamping,-7.7957012,110.3120624,,OpenStreetMap Overpass,medium,OSM tourism=guest_house; zone query match: Gamping. operator=shabrina,osm,node,13800423565,tourism,guest_house,Gamping,
OSM-0646,Laboratorium Penginderaan Jauh UGM,university,Depok/Mlati,-7.7666795,110.3775482,,OpenStreetMap Overpass,medium,OSM amenity=university; zone query match: Depok/Mlati. operator=Kristoforus Karol Ardianto Mali,osm,node,13800429684,amenity,university,Depok/Mlati,
OSM-0647,Kost Bu Anik,lodging,Depok/Mlati,-7.7638753,110.3856442,,OpenStreetMap Overpass,medium,OSM tourism=hostel; zone query match: Depok/Mlati. operator=Aisyah Al Humai,osm,node,13800429690,tourism,hostel,Depok/Mlati,
OSM-0648,Kos Bu Muntamah,lodging,Depok/Mlati,-7.7630933,110.3828682,Sleman,OpenStreetMap Overpass,medium,OSM tourism=hostel; zone query match: Depok/Mlati. operator=Nurlita,osm,node,13800429917,tourism,hostel,Depok/Mlati,
OSM-0649,Kos Bu Anik,lodging,Depok/Mlati,-7.763878,110.3856418,"Jalan Cinde Kembang, Sleman",OpenStreetMap Overpass,medium,OSM tourism=hostel; zone query match: Depok/Mlati. operator=Aisyah Al Humai,osm,node,13800431654,tourism,hostel,Depok/Mlati,
OSM-0650,KOS KOOR PESISIR & BATHI,cafe,Depok/Mlati,-7.7648131,110.3836463,,OpenStreetMap Overpass,medium,OSM amenity=cafe; zone query match: Depok/Mlati. cuisine=coffee_shop;noodle,osm,node,13800449020,amenity,cafe,Depok/Mlati,
OSM-0651,Bu Kadek Khas Bali,restaurant,Depok,-7.7713681,110.4467901,Jalan Selokan Mataram,OpenStreetMap Overpass,medium,OSM amenity=restaurant; zone query match: Depok.,osm,node,13800629157,amenity,restaurant,Depok,
OSM-0652,Tempo Gelato Kaliurang,cafe,Depok/Mlati,-7.7626178,110.3794634,"Jalan Kaliurang, Sleman",OpenStreetMap Overpass,medium,OSM amenity=cafe; zone query match: Depok/Mlati. cuisine=ice_cream; opening_hours=Mo-Su 08:00-22:30,osm,node,13805925392,amenity,cafe,Depok/Mlati,
OSM-0653,LOS CIKEN JAKAL,cafe,Depok/Mlati,-7.7635067,110.3780703,"Jalan Kaliurang, Sleman",OpenStreetMap Overpass,medium,OSM amenity=cafe; zone query match: Depok/Mlati. cuisine=chicken; opening_hours=Mo-Su 09:00-22:00,osm,node,13805940389,amenity,cafe,Depok/Mlati,
OSM-0654,Warung Steak Cemil,restaurant,Depok/Mlati,-7.7776747,110.383741,Kota Yogyakarta,OpenStreetMap Overpass,medium,OSM amenity=restaurant; zone query match: Depok/Mlati. cuisine=american,osm,node,13817640323,amenity,restaurant,Depok/Mlati,
